,FullClassPath,Project_x,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,classname2,Fullpathname,Project_y,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
0, com.jakewharton.telecine.BugsnagTree,Telecine-v1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BugsnagTree,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/BugsnagTree.java,Telecine-1.6.2,BugsnagTree,57,2,3,0,0,False,False,2,False,False,3,6,7,3,0.0,True,False,False,True,False,default,0,0,0,False,Service Provider
1, com.jakewharton.telecine.CaptureHelper,Telecine-v1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureHelper,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/CaptureHelper.java,Telecine-1.6.2,CaptureHelper,51,1,2,0,0,False,False,2,True,False,2,7,6,5,0.0,True,False,False,True,False,default,0,0,0,False,Service Provider
2, com.jakewharton.telecine.CheatSheet,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CheatSheet,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/CheatSheet.java,Telecine-1.6.2,CheatSheet,145,1,5,3,0,False,False,2,False,False,2,8,6,11,0.0,True,False,False,True,False,default,0,0,0,False,Service Provider
4, com.jakewharton.telecine.DeleteRecordingBroadcastReceiver,Telecine-v1.6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,DeleteRecordingBroadcastReceiver,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/DeleteRecordingBroadcastReceiver.java,Telecine-1.6.2,DeleteRecordingBroadcastReceiver,35,0,1,0,0,False,False,4,True,False,1,2,10,3,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
5, com.jakewharton.telecine.RecordingSession,Telecine-v1.6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RecordingSession,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/RecordingSession.java,Telecine-1.6.2,RecordingSession,439,23,10,0,1,False,False,2,False,False,13,11,48,48,0.0,True,False,False,True,False,default,0,0,0,False,Interfacer
6, com.jakewharton.telecine.TelecineActivity,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TelecineActivity,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/TelecineActivity.java,Telecine-1.6.2,TelecineActivity,185,15,10,0,0,False,False,2,False,False,8,5,23,35,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
7, com.jakewharton.telecine.TelecineApplication,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TelecineApplication,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/TelecineApplication.java,Telecine-1.6.2,TelecineApplication,42,1,2,0,0,False,False,2,False,False,1,0,5,5,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
8, com.jakewharton.telecine.TelecineService,Telecine-v1.6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TelecineService,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/TelecineService.java,Telecine-1.6.2,TelecineService,112,13,4,0,0,False,False,2,False,False,5,7,12,10,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
9, com.jakewharton.telecine.VideoSizePercentageAdapter,Telecine-v1.6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,VideoSizePercentageAdapter,Telecine-v1.6.2/src/main/java/com/jakewharton/telecine/VideoSizePercentageAdapter.java,Telecine-1.6.2,VideoSizePercentageAdapter,55,1,5,0,5,False,False,4,True,False,3,6,7,0,0.0,True,False,False,True,False,default,0,0,0,False,Service Provider
10,com.amaze.filemanager.adapters.AppsAdapter,AmazeFileManager-v3.5.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,AppsAdapter,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/adapters/AppsAdapter.java,AmazeFileManager-3.5.2,AppsAdapter,348,9,4,1,1,False,False,2,True,False,19,7,43,48,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
11,com.amaze.filemanager.adapters.CompressedExplorerAdapter,AmazeFileManager-v3.5.2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,CompressedExplorerAdapter,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/adapters/CompressedExplorerAdapter.java,AmazeFileManager-3.5.2,CompressedExplorerAdapter,381,12,9,0,3,False,False,3,True,False,23,11,35,32,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
12,com.amaze.filemanager.adapters.HiddenAdapter,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HiddenAdapter,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/adapters/HiddenAdapter.java,AmazeFileManager-3.5.2,HiddenAdapter,174,8,5,0,2,False,False,2,True,False,4,6,23,12,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
13,com.amaze.filemanager.adapters.RecyclerAdapter,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,RecyclerAdapter,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/adapters/RecyclerAdapter.java,AmazeFileManager-3.5.2,RecyclerAdapter,1132,16,24,2,7,False,False,2,True,False,101,37,59,94,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
14,com.amaze.filemanager.adapters.data.AppDataParcelable,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AppDataParcelable,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/adapters/data/AppDataParcelable.java,AmazeFileManager-3.5.2,AppDataParcelable,125,4,2,0,0,False,False,3,False,False,1,2,3,8,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
15,com.amaze.filemanager.adapters.data.LayoutElementParcelable,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,LayoutElementParcelable,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/adapters/data/LayoutElementParcelable.java,AmazeFileManager-3.5.2,LayoutElementParcelable,273,15,7,1,1,False,False,3,False,False,5,3,11,21,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
16,com.amaze.filemanager.adapters.holders.EmptyViewHolder,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,EmptyViewHolder,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/adapters/holders/EmptyViewHolder.java,AmazeFileManager-3.5.2,EmptyViewHolder,36,0,0,0,0,False,False,3,True,False,0,0,2,0,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
17,com.amaze.filemanager.adapters.holders.SpecialViewHolder,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SpecialViewHolder,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/adapters/holders/SpecialViewHolder.java,AmazeFileManager-3.5.2,SpecialViewHolder,71,3,0,0,0,False,False,3,True,False,3,0,8,2,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
18,com.amaze.filemanager.asynchronous.asynctasks.CloudLoaderAsyncTask,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CloudLoaderAsyncTask,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/asynchronous/asynctasks/CloudLoaderAsyncTask.java,AmazeFileManager-3.5.2,CloudLoaderAsyncTask,398,4,3,0,0,False,False,4,False,False,29,2,21,71,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
19,com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,DbViewerTask,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/asynchronous/asynctasks/DbViewerTask.java,AmazeFileManager-3.5.2,DbViewerTask,173,7,7,0,2,False,False,3,False,False,4,5,7,10,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
20,com.amaze.filemanager.asynchronous.asynctasks.DeleteTask,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DeleteTask,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/asynchronous/asynctasks/DeleteTask.java,AmazeFileManager-3.5.2,DeleteTask,188,5,5,0,0,False,False,2,False,False,8,6,31,18,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
21,com.amaze.filemanager.asynchronous.asynctasks.GenerateHashesTask,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GenerateHashesTask,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/asynchronous/asynctasks/GenerateHashesTask.java,AmazeFileManager-3.5.2,GenerateHashesTask,214,5,5,0,2,False,False,3,False,False,7,2,18,25,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
22,com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,LoadFilesListTask,AmazeFileManager-v3.5.2/app/src/main/java/com/amaze/filemanager/asynchronous/asynctasks/LoadFilesListTask.java,AmazeFileManager-3.5.2,LoadFilesListTask,502,7,14,0,0,False,False,4,False,False,39,12,39,50,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
